Volatility 3 Framework 2.27.0

Plugin	Description	Created Date	Modified Date	Accessed Date	Changed Date
ThrdScan	Thread: Tid 56 in Pid 4 (Offset 106437456)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 24 in Pid 4 (Offset 106552144)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 184 in Pid 4 (Offset 106570400)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 180 in Pid 4 (Offset 106571664)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 76 in Pid 4 (Offset 106577984)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 188 in Pid 4 (Offset 106594368)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 84 in Pid 4 (Offset 106664560)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 80 in Pid 4 (Offset 106665824)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 28 in Pid 4 (Offset 106695504)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 128 in Pid 4 (Offset 106752848)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 24 in Pid 4 (Offset 275427702201168)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 28 in Pid 4 (Offset 275427702344528)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 32 in Pid 4 (Offset 275427701413216)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 36 in Pid 4 (Offset 275427701771088)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 40 in Pid 4 (Offset 275427701504848)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 44 in Pid 4 (Offset 275427701503584)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 48 in Pid 4 (Offset 275427701502320)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 52 in Pid 4 (Offset 275427702083648)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 56 in Pid 4 (Offset 275427702086480)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 60 in Pid 4 (Offset 275427702085216)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 64 in Pid 4 (Offset 275427702054976)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 68 in Pid 4 (Offset 275427702057808)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 72 in Pid 4 (Offset 275427702056544)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 76 in Pid 4 (Offset 275427702227008)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 80 in Pid 4 (Offset 275427702314848)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 84 in Pid 4 (Offset 275427702313584)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 88 in Pid 4 (Offset 275427701825600)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 92 in Pid 4 (Offset 275427701828432)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 96 in Pid 4 (Offset 275427701493824)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 100 in Pid 4 (Offset 275427701496656)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 112 in Pid 4 (Offset 275427701684464)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 116 in Pid 4 (Offset 275427701854416)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 120 in Pid 4 (Offset 275427701885776)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 124 in Pid 4 (Offset 275427702000464)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 128 in Pid 4 (Offset 275427702401872)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 136 in Pid 4 (Offset 275427701617552)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 140 in Pid 4 (Offset 275427701652304)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 144 in Pid 4 (Offset 275427701735488)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 148 in Pid 4 (Offset 275427701737360)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 156 in Pid 4 (Offset 275427701803856)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 160 in Pid 4 (Offset 275427701812048)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 164 in Pid 4 (Offset 275427701851216)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 168 in Pid 4 (Offset 275427701621632)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 172 in Pid 4 (Offset 275427701234512)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 180 in Pid 4 (Offset 275427702220688)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 184 in Pid 4 (Offset 275427702219424)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
Threads	Thread: Tid 188 in Pid 4 (Offset 275427702243392)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:12.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 208 in Pid 4 (Offset 3202700416)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:14.000000 UTC	N/A	N/A
ThrdScan	Thread: Tid 204 in Pid 4 (Offset 3202701920)	2025-11-19 11:19:25.000000 UTC	1600-12-25 00:01:14.000000 UTC	N/A	N/A
